"Brug af internet til private formål - procent af befolkningen (16-74"
"år) efter type, formål og tid"

" "," ","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012"
" ","Brugt karriereorienterede netværkstjenester",..,..,..,..,..,27,..,..,..,..,..
" ","Taget online kursus",15,23,15,11,..,7,..,..,..,..,..
" ","Brugt e-learning materiale",34,32,34,..,..,13,..,..,..,..,..
" ","Kommunikeret med underviser/elev på websider/portaler",23,..,25,16,..,13,..,..,..,..,..
" ","Delt egne billeder, tekst, videoer, musik eller software",56,..,65,57,..,..,..,..,..,..,..
" ","Lyttet til musik via webradio eller streamingstjeneste",75,..,73,68,..,..,..,..,..,..,..
" ","Sendt meddelelser fx via Messenger, Skype, WhatsApp, Viber etc.",90,91,90,81,..,..,..,..,..,..,..
" ","Brugt video- eller audioopkald fx Skype, Messenger, Facetime, WhatsApp, Viber",75,75,72,58,..,..,..,..,..,..,..
" ","Betjent udstyr i hjemmet fx betjent termostat, lys, robotstøvsuger, alarmsystem via smartphone",..,..,33,17,..,..,..,..,..,..,..
" ","Brug af apps til at mindske madspild",21,..,21,..,..,..,..,..,..,..,..
" ","Brug af andre grønne apps, der hjælper med at leve miljøvenligt",12,..,9,..,..,..,..,..,..,..,..
" ","Brug af dating apps eller hjemmesider",7,..,10,..,..,6,..,..,..,..,..
" ","Lytter til podcast uanset emne",45,..,40,..,..,..,..,..,..,..,..
"Køn: Mænd"
" ","Sende/modtage e-mail",93,95,96,93,93,93,92,..,90,88,86
" ","Søge infomation om varer mv.",89,86,91,87,88,81,87,79,83,83,83
" ","Services ifm. rejser mv",..,..,..,..,..,57,64,65,..,..,..
" ","Downloade software",..,..,..,..,..,..,..,..,..,58,..
" ","Læse/downloade nyheder",87,85,87,84,..,85,73,70,68,74,77
" ","Jobsøgning",..,37,..,37,..,23,..,..,..,23,..
" ","Søge helbredsmæssig information",64,69,66,61,61,56,57,61,..,48,..
" ","Internetbank",93,93,95,91,89,90,87,85,85,84,80
" ","Salg af varer/tjenester",31,33,32,30,31,30,36,40,24,27,28
" ","Søge infomation om kurser/uddannelse",..,..,..,..,..,..,..,..,..,40,..
" ","Følge online kursus",..,..,..,..,..,..,..,..,..,8,..
" ","At lære nyt på nettet",..,..,..,..,..,..,..,..,..,59,..
" ","Kontakt til offentlige myndigheder (2008)",..,..,..,..,..,..,..,..,..,..,..
" ","Finde infomation på offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,89,88,89,89,86,85,85,..,..,..
" ","Downloade fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",38,41,41,48,48,52,54,53,..,..,..
" ","Indsende skema fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,69,67,73,74,70,70,70,..,..,..
" ","Delt/udtrykt egne holdinger på nettet",21,21,..,21,..,25,..,..,..,..,..
" ","Deltaget i online høringer/afstemninger",13,12,..,15,..,14,..,..,..,..,..
" ","Brugt sociale netværkstjenester",81,83,82,78,76,73,..,..,..,..,..
" ","Brugt karriereorienterede netværkstjenester",..,..,..,..,..,33,..,..,..,..,..
" ","Taget online kursus",15,21,18,13,..,10,..,..,..,..,..
" ","Brugt e-learning materiale",37,34,43,..,..,16,..,..,..,..,..
" ","Kommunikeret med underviser/elev på websider/portaler",20,..,21,12,..,12,..,..,..,..,..
" ","Delt egne billeder, tekst, videoer, musik eller software",43,..,54,47,..,..,..,..,..,..,..
" ","Lyttet til musik via webradio eller streamingstjeneste",80,..,78,74,..,..,..,..,..,..,..
" ","Sendt meddelelser fx via Messenger, Skype, WhatsApp, Viber etc.",84,85,85,74,..,..,..,..,..,..,..
" ","Brugt video- eller audioopkald fx Skype, Messenger, Facetime, WhatsApp, Viber",70,70,68,54,..,..,..,..,..,..,..
" ","Betjent udstyr i hjemmet fx betjent termostat, lys, robotstøvsuger, alarmsystem via smartphone",..,..,39,28,..,..,..,..,..,..,..
" ","Brug af apps til at mindske madspild",15,..,13,..,..,..,..,..,..,..,..
" ","Brug af andre grønne apps, der hjælper med at leve miljøvenligt",10,..,8,..,..,..,..,..,..,..,..
" ","Brug af dating apps eller hjemmesider",11,..,15,..,..,8,..,..,..,..,..
" ","Lytter til podcast uanset emne",44,..,40,..,..,..,..,..,..,..,..
"Socioøkonomisk status: Studerende"
" ","Sende/modtage e-mail",..,..,..,..,..,..,..,..,..,..,..
" ","Søge infomation om varer mv.",..,..,..,..,..,..,..,..,..,..,..
" ","Services ifm. rejser mv",..,..,..,..,..,..,..,..,..,..,..
" ","Downloade software",..,..,..,..,..,..,..,..,..,..,..
" ","Læse/downloade nyheder",..,..,..,..,..,..,..,..,..,..,..
" ","Jobsøgning",..,..,..,..,..,..,..,..,..,..,..
" ","Søge helbredsmæssig information",..,..,..,..,..,..,..,..,..,..,..
" ","Internetbank",..,..,..,..,..,..,..,..,..,..,..
" ","Salg af varer/tjenester",..,..,..,..,..,..,..,..,..,..,..
" ","Søge infomation om kurser/uddannelse",..,..,..,..,..,..,..,..,..,..,..
" ","Følge online kursus",..,..,..,..,..,..,..,..,..,..,..
" ","At lære nyt på nettet",..,..,..,..,..,..,..,..,..,..,..
" ","Kontakt til offentlige myndigheder (2008)",..,..,..,..,..,..,..,..,..,..,..
" ","Finde infomation på offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,..,..,..,..,..,..,..,..,..,..
" ","Downloade fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,..,..,..,..,..,..,..,..,..,..
" ","Indsende skema fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder",..,..,..,..,..,..,..,..,..,..,..
" ","Delt/udtrykt egne holdinger på nettet",..,..,..,..,..,..,..,..,..,..,..
" ","Deltaget i online høringer/afstemninger",..,..,..,..,..,..,..,..,..,..,..
" ","Brugt sociale netværkstjenester",..,..,..,..,..,..,..,..,..,..,..
" ","Brugt karriereorienterede netværkstjenester",..,..,..,..,..,..,..,..,..,..,..
" ","Taget online kursus",..,..,..,..,..,..,..,..,..,..,..
" ","Brugt e-learning materiale",..,..,..,..,..,..,..,..,..,..,..
" ","Kommunikeret med underviser/elev på websider/portaler",..,..,..,..,..,..,..,..,..,..,..
" ","Delt egne billeder, tekst, videoer, musik eller software",..,..,..,..,..,..,..,..,..,..,..
" ","Lyttet til musik via webradio eller streamingstjeneste",..,..,..,..,..,..,..,..,..,..,..
" ","Sendt meddelelser fx via Messenger, Skype, WhatsApp, Viber etc.",..,..,..,..,..,..,..,..,..,..,..
" ","Brugt video- eller audioopkald fx Skype, Messenger, Facetime, WhatsApp, Viber",..,..,..,..,..,..,..,..,..,..,..
" ","Betjent udstyr i hjemmet fx betjent termostat, lys, robotstøvsuger, alarmsystem via smartphone",..,..,..,..,..,..,..,..,..,..,..
" ","Brug af apps til at mindske madspild",..,..,..,..,..,..,..,..,..,..,..
" ","Brug af andre grønne apps, der hjælper med at leve miljøvenligt",..,..,..,..,..,..,..,..,..,..,..
" ","Brug af dating apps eller hjemmesider",..,..,..,..,..,..,..,..,..,..,..
" ","Lytter til podcast uanset emne",..,..,..,..,..,..,..,..,..,..,..
"Socioøkonomisk status: Lønmodtagere, grundniveau"
" ","Sende/modtage e-mail",..,..,..,..,..,..,..,..,..,..,..
" ","Søge infomation om varer mv.",..,..,..,..,..,..,..,..,..,..,..
" ","Services ifm. rejser mv",..,..,..,..,..,..,..,..,..,..,..
" ","Downloade software",..,..,..,..,..,..,..,..,..,..,..
" ","Læse/downloade nyheder",..,..,..,..,..,..,..,..,..,..,..
" ","Jobsøgning",..,..,..,..,..,..,..,..,..,..,..
