Type;Kategori;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
Alder: 60-74 år;Jobsøgning;..;9;..;9;..;5;..;..;..;3;..
Alder: 60-74 år;Søge helbredsmæssig information;58;67;60;55;57;48;52;50;..;40;..
Alder: 60-74 år;Internetbank;89;91;88;82;85;83;79;73;74;67;59
Alder: 60-74 år;Salg af varer/tjenester;17;20;17;15;17;15;19;17;12;12;11
Alder: 60-74 år;Søge infomation om kurser/uddannelse;..;..;..;..;..;..;..;..;..;12;..
Alder: 60-74 år;Følge online kursus;..;..;..;..;..;..;..;..;..;3;..
Alder: 60-74 år;At lære nyt på nettet;..;..;..;..;..;..;..;..;..;27;..
Alder: 60-74 år;Kontakt til offentlige myndigheder (2008);..;..;..;..;..;..;..;..;..;..;..
Alder: 60-74 år;Finde infomation på offentlige myndigheders hjemmesider. Inden for de seneste tre måneder;..;85;80;83;84;78;76;75;..;..;..
Alder: 60-74 år;Downloade fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder;45;41;42;50;50;51;50;50;..;..;..
Alder: 60-74 år;Indsende skema fra offentlige myndigheders hjemmesider. Inden for de seneste tre måneder;..;60;59;64;64;59;59;57;..;..;..
Alder: 60-74 år;Delt/udtrykt egne holdinger på nettet;14;16;..;14;..;14;..;..;..;..;..
Alder: 60-74 år;Deltaget i online høringer/afstemninger;9;7;..;10;..;7;..;..;..;..;..
Alder: 60-74 år;Brugt sociale netværkstjenester;65;66;63;57;52;44;..;..;..;..;..
Alder: 60-74 år;Brugt karriereorienterede netværkstjenester;..;..;..;..;..;9;..;..;..;..;..
Alder: 60-74 år;Taget online kursus;6;7;5;4;..;3;..;..;..;..;..
Alder: 60-74 år;Brugt e-learning materiale;14;17;14;..;..;4;..;..;..;..;..
Alder: 60-74 år;Kommunikeret med underviser/elev på websider/portaler;7;..;3;2;..;3;..;..;..;..;..
Alder: 60-74 år;Delt egne billeder, tekst, videoer, musik eller software;30;..;41;31;..;..;..;..;..;..;..
Alder: 60-74 år;Lyttet til musik via webradio eller streamingstjeneste;47;..;42;36;..;..;..;..;..;..;..
Alder: 60-74 år;Sendt meddelelser fx via Messenger, Skype, WhatsApp, Viber etc.;70;72;71;47;..;..;..;..;..;..;..
Alder: 60-74 år;Brugt video- eller audioopkald fx Skype, Messenger, Facetime, WhatsApp, Viber;49;50;43;33;..;..;..;..;..;..;..
Alder: 60-74 år;Betjent udstyr i hjemmet fx betjent termostat, lys, robotstøvsuger, alarmsystem via smartphone;..;..;23;13;..;..;..;..;..;..;..
Alder: 60-74 år;Brug af apps til at mindske madspild;10;..;9;..;..;..;..;..;..;..;..
Alder: 60-74 år;Brug af andre grønne apps, der hjælper med at leve miljøvenligt;10;..;6;..;..;..;..;..;..;..;..
